S. No.,Thickness_mm,Bar_Diameter_mm,Bar_Spacing_mm,fck_cube_MPa,fy_MPa,Peak_Force_N,Peak_Displacement_mm,Total_Area_mm2
304,70,3,70,50,285,618004.125,11.397,5862285.241
305,50,2,60,40,300,240407.25,8.55,1511522.498
306,50,2,35,50,380,289793.656,7.917,1579744.004
307,100,5,30,35,525,1176999.25,5.234,4400155.454
308,80,4,75,60,310,1013393.812,9.328,7271200.909
309,100,3,75,30,505,990361.812,6.27,4828203.425
310,50,4,30,50,460,340529.281,8.538,1974465.718
311,100,5,50,45,425,1406788.5,7.338,7921572.717
312,50,4,50,50,490,304374.969,10.017,2285593.689
313,60,5,50,35,335,384593.438,6.968,1868523.425
314,100,2,65,55,260,1538737.875,6.783,7471348.367
315,80,4,65,25,420,604532,5.158,2124273.812
316,90,5,65,60,455,1333300.625,8.479,8436449.639
317,50,6,55,30,315,249378.969,9.107,1622938.802
318,50,6,50,45,305,302282.688,10.126,2347329.721
319,70,2,75,45,490,592344.062,8.935,4009787.724
320,90,4,75,50,250,1121410.25,10.471,7709290.265
321,100,3,75,55,440,1553055.125,6.845,7842790.908
322,100,4,65,35,450,991050,3.223,1948454.63
323,100,3,40,55,435,1591704.75,7.285,8666358.085
324,90,3,45,40,360,995520.75,4.337,2695801.883
325,50,6,70,50,395,317265.125,7.898,1716678.437
326,90,4,60,50,265,1218567.5,6.529,5665470.56
327,70,2,70,55,470,705062.875,7.133,3490308.265
328,60,4,55,40,410,425975.281,7.153,2109375.977
329,90,4,35,30,475,898680.062,5.672,3511938.035
330,60,2,35,60,505,509590.5,7.76,2702263.004
331,100,2,40,50,475,1487693.375,5.376,5389465.523
332,100,5,70,30,355,1037375.312,5.111,3746193.546
333,60,2,30,60,510,517821.281,9.046,3391105.391
334,50,3,40,45,495,284229.406,6.983,1306688.449
335,80,3,30,25,335,605404.625,6.389,2666433.553
336,60,3,30,40,510,426040.281,5.449,1424789.896
337,60,5,30,60,410,605710.75,8.979,3911611.921
338,80,3,65,60,400,1007487.562,6.652,4530599.198
339,80,2,75,45,420,751927.75,11.251,6854178.63
340,60,3,45,40,320,406743.5,7.053,1994216.935
341,70,3,25,30,530,524982.125,9.01,3703704.506
342,70,6,75,60,520,809284.375,9.376,5659706.161
343,100,5,65,45,330,1397645.25,6.023,6114465.444
344,60,3,70,45,550,435676.406,6.93,2042300.884
345,50,3,55,45,250,273043.281,8.303,1597372.285
346,80,2,40,35,320,626101.438,4.71,1911234.116
347,50,3,55,45,250,273043.281,8.303,1597372.285
348,80,3,25,30,330,673652.25,5.824,2797334.743
349,80,6,70,45,340,907110.438,6.991,4596922.432
350,80,4,30,35,515,753538.125,8.057,4686576.996
351,90,4,70,40,365,1011867.062,5.688,3962611.72
352,70,3,65,60,380,747041.375,8.599,4756172.67
353,90,5,35,40,530,1066662.875,12.169,9015315.819
354,100,3,45,60,320,1647012.75,5.571,6200530.01
355,100,4,30,50,295,1549038.25,5.542,5990182.28
356,70,2,65,30,415,459012.625,6.249,2071325.535
357,50,5,40,25,395,230505.219,7.335,1159678.844
358,80,5,55,35,360,704387.188,7.773,4246534.139
359,50,2,70,55,425,293690.312,9.332,2035401.983
360,50,2,65,30,465,202413.734,6.416,813559.219
361,60,4,70,50,485,477709.844,6.645,2035747.528
362,90,3,50,55,345,1285609.625,6.313,5581039.314
363,80,3,55,40,325,756449.938,8.302,4913166.14
364,50,3,50,30,525,221651.641,7.265,998360.363
365,50,6,25,45,300,368652.531,8.019,1959320.151
366,50,3,25,60,450,350549.312,7.389,1693929.016
367,70,4,40,60,280,769677.125,9.431,5500480.51
368,80,3,55,55,400,995769.875,7.663,5496494.908
369,70,5,50,45,370,670603.938,8.967,4608211.989
370,70,4,30,55,375,787549,8.621,4982587.406
371,80,2,40,40,455,773883.188,6.38,3527620.412
372,80,5,55,40,460,838987.625,5.41,2992150.956
373,100,5,30,50,350,1583569.125,6.887,8200818.321
374,70,4,25,60,435,837722,8.816,5244999.755
375,70,6,45,25,445,483492.188,14.387,5603099.346
376,70,4,40,45,465,645709.188,5.135,2032977.027
377,90,6,60,45,395,1179938,6.036,4747547.905
378,70,6,45,55,430,772860.438,13.028,6288414.324
379,60,5,70,45,515,465690.562,6.852,1974186.515
380,60,4,50,25,465,319855.656,9.332,2284566.635
381,70,4,50,55,510,734052.438,10.259,5137266.561
382,90,4,55,45,390,1136769.25,6.298,5109280.085
383,70,4,40,45,415,679570.875,6.47,2973408.294
384,60,5,70,55,405,527329.375,7.29,2572736.717
385,100,5,70,30,390,1043448.188,4.542,3229878.78
386,90,5,35,45,475,1223385.25,6.653,5792238.089
387,80,3,35,45,495,888007.375,7.02,4364088.92
388,100,6,65,35,430,1062500.625,3.521,2338517.269
389,70,2,65,25,530,411974.188,6.388,1901712.65
390,100,5,40,25,345,955007.438,3.574,2202051.136
391,80,6,30,55,485,1174069.5,9.21,8154029.441
392,70,3,45,25,355,434904.594,5.191,1494930.457
393,50,6,65,40,370,285967.938,9.124,1894150.643
394,50,2,25,55,465,315541.844,6.893,1398315.726
395,100,3,40,50,520,1483518.875,7.051,7741631.646
396,70,5,75,35,295,490630.469,9.445,3721652.548
397,90,5,60,60,285,1322414.625,7.194,6958895.135
398,50,3,40,25,525,200340.969,5.798,723451.787
399,60,4,25,40,495,483786.375,9.327,3234920.794
400,60,4,50,30,360,357940.719,6.596,1622703.356
